Opt_Level,Region,Size,Run_Iteration,FLOPs_per_cycle,AI,IPC,vIPC,DP_per_vec,%L1m,%L2m,%L3m,%Stall
-O2,-DTIME_REGION=0,-DSIZE=128,1,1.3414999212226248,3096.181818181818,2.7214899755790136,1.3414999212226248,1.0,2.6961081031438248,77.71412350649015,0.03681392235609103,7.5816453639514725
-O2,-DTIME_REGION=0,-DSIZE=512,1,1.4746186912823265,998.9018867924528,2.822331975968148,1.4746186912823265,1.0,3.071960104145694,201.7784131479171,0.04013886532729079,6.059544274729701
-O2,-DTIME_REGION=0,-DSIZE=2048,1,1.4262403807205657,1.505053746562928,2.68813625972046,1.4262403807205657,1.0,14.061483772158956,39.786494739327836,29.359435567521796,11.249676067120646
-O2,-DTIME_REGION=4,-DSIZE=128,1,1.6952274962176976,0.0,3.8808100196590103,1.6952274962176976,1.0,1.505351997979355,56.00846841722754,0.0,4.177437843554036
-O2,-DTIME_REGION=4,-DSIZE=512,1,1.7398105705158886,24624.188235294117,3.930941153474248,1.7398105705158886,1.0,1.6966434753025121,209.25154989850222,0.0017839719148252053,5.717848127817171
-O2,-DTIME_REGION=4,-DSIZE=2048,1,1.489002959519668,1.563686730978697,3.35372237131549,1.489002959519668,1.0,8.550284102340354,39.82707198266509,29.280223584071397,18.386066528541573
-O2,-DTIME_REGION=5,-DSIZE=128,1,0.0,0.0,2.6783797597751087,0.0,0.0,14.881736441211842,168.71271887627478,0.0,35.76539739330437
-O2,-DTIME_REGION=5,-DSIZE=512,1,0.0,0.0,0.6520456550059781,0.0,0.0,45.47061716341028,222.0655627701356,0.004268252559617707,82.54354051266603
-O2,-DTIME_REGION=5,-DSIZE=2048,1,0.0,0.0,0.5166289137871323,0.0,0.0,42.98011558384878,227.67520913266134,71.37577251619561,84.9730965611395
-O2,-DTIME_REGION=6,-DSIZE=128,1,0.5639087888476642,0.0,1.700070101048096,0.5624497751637116,1.0025940337224384,3.172393143199341,212.977819726286,0.0,39.77009135933341
-O2,-DTIME_REGION=6,-DSIZE=512,1,0.5507187304787796,0.0,1.654010303184325,0.550360772252924,1.0006504065040651,3.133227189826933,219.77152899824253,0.0,42.874027019553814
-O2,-DTIME_REGION=6,-DSIZE=2048,1,0.5293262190130442,0.5984761812029892,1.5884133064317325,0.5292401006987169,1.0001627206899357,3.181506197648878,199.60681716530334,61.87928523483299,45.49385394657675
-O3,-DTIME_REGION=0,-DSIZE=128,1,1.6885329590182285,0.0,2.88077072347704,1.2601776602362245,1.3399165945393028,5.202428822892948,65.91649852553158,0.0,26.813030689655438
-O3,-DTIME_REGION=0,-DSIZE=512,1,1.7924211606380946,8539.0,2.9489602579818817,1.342590884585864,1.3350464249509524,6.104760127726056,200.45362756488805,0.004679344167272969,25.38816811396799
-O3,-DTIME_REGION=0,-DSIZE=2048,1,1.713520645257148,1.5971730044393138,2.793141586435659,1.2847236727129439,1.3337659153105788,28.414230506199843,38.85087781950995,28.093178869299773,30.60308040861533
-O3,-DTIME_REGION=4,-DSIZE=128,1,1.9015715074261859,0.0,3.16068014578208,1.4261786305696396,1.3333333333333333,4.696583805484891,44.528373147011614,0.0,21.21087224328207
-O3,-DTIME_REGION=4,-DSIZE=512,1,1.909349626227073,2093056.0,3.1197033631503017,1.4320122196703047,1.3333333333333333,5.44466130525796,204.8139239428346,2.1186059149358537e-05,19.603989885472732
-O3,-DTIME_REGION=4,-DSIZE=2048,1,1.7486791174941325,1.6706723791644766,2.8454590438318537,1.3115093381205993,1.3333333333333333,28.41947854450017,37.71320440168671,27.48893400964278,29.275716476199133
-O3,-DTIME_REGION=5,-DSIZE=128,1,0.0,0.0,1.4591425430560645,0.0,0.0,21.42019016791422,183.6607480166226,0.0,60.069407022611166
-O3,-DTIME_REGION=5,-DSIZE=512,1,0.0,0.0,0.37892793010160736,0.0,0.0,62.193259135190914,227.99550469963222,0.007615202068501399,89.08641876450699
-O3,-DTIME_REGION=5,-DSIZE=2048,1,0.0,0.0,0.2669201746545578,0.0,0.0,54.23297358996503,209.18818854049417,73.06764002286768,90.49630305319995
